EMG,Label
-0.016281376,0
-0.014938582,0
-0.014938582,0
-0.01544213,0
-0.016281376,0
-0.017456321,0
-0.017120623,0
-0.016113527,0
-0.014267185,0
-0.01326009,0
-0.013763638,0
-0.015609979,0
-0.016617075,0
-0.015945678,0
-0.014602884,0
-0.01326009,0
-0.013763638,0
-0.014435035,0
-0.01544213,0
-0.015945678,0
-0.014770733,0
-0.012756542,0
-0.012588693,0
-0.013931487,0
-0.014938582,0
-0.012924392,0
-0.01107805,0
-0.011581598,0
-0.013092241,0
-0.012924392,0
-0.013092241,0
-0.014938582,0
-0.016281376,0
-0.017959869,0
-0.019134813,0
-0.018127718,0
-0.015777829,0
-0.015777829,0
-0.016449226,0
-0.018295567,0
-0.018966964,0
-0.018295567,0
-0.016952773,0
-0.01762417,0
-0.018966964,0
-0.018966964,0
-0.018631266,0
-0.018631266,0
-0.01779202,0
-0.016952773,0
-0.015945678,0
-0.014602884,0
-0.015106432,0
-0.017959869,0
-0.01980621,0
-0.018966964,0
-0.017288472,0
-0.015609979,0
-0.013595789,0
-0.01326009,0
-0.012588693,0
-0.011581598,0
-0.013092241,0
-0.014938582,0
-0.014267185,0
-0.01326009,0
-0.014770733,0
-0.015945678,0
-0.016281376,0
-0.015777829,0
-0.016281376,0
-0.018295567,0
-0.018631266,0
-0.017456321,0
-0.016617075,0
-0.016952773,0
-0.016952773,0
-0.016449226,0
-0.015777829,0
-0.015945678,0
-0.015609979,0
-0.015274281,0
-0.017288472,0
-0.018631266,0
-0.01779202,0
-0.01544213,0
-0.013595789,0
-0.012252995,0
-0.012924392,0
-0.014602884,0
-0.016281376,0
-0.016617075,0
-0.015777829,0
-0.016281376,0
-0.015609979,0
-0.014938582,0
-0.016281376,0
-0.016449226,0
-0.015945678,0
-0.016952773,0
-0.015945678,0
-0.014435035,0
-0.01326009,0
-0.014602884,0
-0.01779202,0
-0.018966964,0
-0.017959869,0
-0.016449226,0
-0.014435035,0
-0.013595789,0
-0.013763638,0
-0.015106432,0
-0.016617075,0
-0.016281376,0
-0.014099336,0
-0.012924392,0
-0.013931487,0
-0.015106432,0
-0.015274281,0
-0.01544213,0
-0.016281376,0
-0.016617075,0
-0.016952773,0
-0.017120623,0
-0.015945678,0
-0.014099336,0
-0.01326009,0
-0.014267185,0
-0.015609979,0
-0.016281376,0
-0.01762417,0
-0.018463416,0
-0.018295567,0
-0.016449226,0
-0.014602884,0
-0.014267185,0
-0.016281376,0
-0.01762417,0
-0.016952773,0
-0.014602884,0
-0.013595789,0
-0.012924392,0
-0.012924392,0
-0.012924392,0
-0.013092241,0
-0.012252995,0
-0.01326009,0
-0.014267185,0
-0.015274281,0
-0.015609979,0
-0.014267185,0
-0.012588693,0
-0.011917296,0
-0.014267185,0
-0.015609979,0
-0.015609979,0
-0.015609979,0
-0.016281376,0
-0.01544213,0
-0.013763638,0
-0.012924392,0
-0.013595789,0
-0.015106432,0
-0.016281376,0
-0.016952773,0
-0.018127718,0
-0.01762417,0
-0.014602884,0
-0.014938582,0
-0.01779202,0
-0.019134813,0
-0.019134813,0
-0.01997406,0
-0.018966964,0
-0.017288472,0
-0.017959869,0
-0.020309758,0
-0.020645457,0
-0.020309758,0
-0.018966964,0
-0.017288472,0
-0.016952773,0
-0.016449226,0
-0.015609979,0
-0.01544213,0
-0.016952773,0
-0.018463416,0
-0.018127718,0
-0.015106432,0
-0.014267185,0
-0.016617075,0
-0.01779202,0
-0.016281376,0
-0.01544213,0
-0.016449226,0
-0.016281376,0
-0.014938582,0
-0.015274281,0
-0.017288472,0
-0.017959869,0
-0.016952773,0
-0.014938582,0
-0.013092241,0
-0.013595789,0
-0.015274281,0
-0.015945678,0
-0.015777829,0
-0.014938582,0
-0.013595789,0
-0.01326009,0
-0.013092241,0
-0.013595789,0
-0.014602884,0
-0.015274281,0
-0.014938582,0
-0.014938582,0
-0.015274281,0
-0.016617075,0
-0.018127718,0
-0.018295567,0
-0.01779202,0
-0.016617075,0
-0.016449226,0
-0.016617075,0
-0.016113527,0
-0.016281376,0
-0.016952773,0
-0.016281376,0
-0.016281376,0
-0.015945678,0
-0.015274281,0
-0.014602884,0
-0.014770733,0
-0.015274281,0
-0.014099336,0
-0.012588693,0
-0.014099336,0
-0.015777829,0
-0.017288472,0
-0.01762417,0
-0.016281376,0
-0.014938582,0
-0.014267185,0
-0.015777829,0
-0.017120623,0
-0.016952773,0
-0.015777829,0
-0.016449226,0
-0.016952773,0
-0.016617075,0
-0.016952773,0
-0.018966964,0
-0.018966964,0
-0.017120623,0
-0.015609979,0
-0.015106432,0
-0.015609979,0
-0.014938582,0
-0.013092241,0
-0.013595789,0
-0.014267185,0
-0.014435035,0
-0.014938582,0
-0.015106432,0
-0.014602884,0
-0.013595789,0
-0.013595789,0
-0.013931487,0
-0.014267185,0
-0.015106432,0
-0.015945678,0
-0.016281376,0
-0.016617075,0
-0.017959869,0
-0.016784924,0
-0.014267185,0
-0.013931487,0
-0.015609979,0
-0.01762417,0
-0.018295567,0
-0.016952773,0
-0.016952773,0
-0.016281376,0
-0.014602884,0
-0.013595789,0
-0.014602884,0
-0.015777829,0
-0.014938582,0
-0.014267185,0
-0.013931487,0
-0.015609979,0
-0.017120623,0
-0.016617075,0
-0.015106432,0
-0.014938582,0
-0.015609979,0
-0.015106432,0
-0.014602884,0
-0.015274281,0
-0.016617075,0
-0.018463416,0
-0.018295567,0
-0.015945678,0
-0.014602884,0
-0.014099336,0
-0.013931487,0
-0.014602884,0
-0.014602884,0
-0.013931487,0
-0.012756542,0
-0.012252995,0
-0.013763638,0
-0.015106432,0
-0.014770733,0
-0.015609979,0
-0.018295567,0
-0.018295567,0
-0.017288472,0
-0.016449226,0
-0.015609979,0
-0.013931487,0
-0.014435035,0
-0.016281376,0
-0.016449226,0
-0.014938582,0
-0.014267185,0
-0.015609979,0
-0.015777829,0
-0.015609979,0
-0.014938582,0
-0.014267185,0
-0.016281376,0
-0.01762417,0
-0.016281376,0
-0.013931487,0
-0.012252995,0
-0.01107805,0
-0.012588693,0
-0.013092241,0
-0.013931487,0
-0.014602884,0
-0.016617075,0
-0.018127718,0
-0.018295567,0
-0.016281376,0
-0.014435035,0
-0.015777829,0
-0.01762417,0
-0.016617075,0
-0.015274281,0
-0.017120623,0
-0.018463416,0
-0.017288472,0
-0.016281376,0
-0.016281376,0
-0.016952773,0
-0.016784924,0
-0.015609979,0
-0.014938582,0
-0.015945678,0
-0.015609979,0
-0.013595789,0
-0.013595789,0
-0.014938582,0
-0.015106432,0
-0.016113527,0
-0.016617075,0
-0.016952773,0
-0.017288472,0
-0.016952773,0
-0.016281376,0
-0.014938582,0
-0.01544213,0
-0.016952773,0
-0.018631266,0
-0.018966964,0
-0.016617075,0
-0.013931487,0
-0.013595789,0
-0.014770733,0
-0.016952773,0
-0.018127718,0
-0.01779202,0
-0.017120623,0
-0.016784924,0
-0.016281376,0
-0.015274281,0
-0.015274281,0
-0.016617075,0
-0.01762417,0
-0.016449226,0
-0.014435035,0
-0.013595789,0
-0.013595789,0
-0.014938582,0
-0.016952773,0
-0.017959869,0
-0.018631266,0
-0.018799115,0
-0.019134813,0
-0.018966964,0
-0.020309758,0
-0.0221561,0
-0.020981155,0
-0.01762417,0
-0.015945678,0
-0.015945678,0
-0.016952773,0
-0.019638361,0
-0.019470512,0
-0.01762417,0
-0.01762417,0
-0.016952773,0
-0.015609979,0
-0.015609979,0
-0.015609979,0
-0.016617075,0
-0.016784924,0
-0.015777829,0
-0.015106432,0
-0.014099336,0
-0.01326009,0
-0.012420844,0
-0.012588693,0
-0.013595789,0
-0.013595789,0
-0.014267185,0
-0.013931487,0
-0.013595789,0
-0.013595789,0
-0.015609979,0
-0.015945678,0
-0.015274281,0
-0.014938582,0
-0.014267185,0
-0.013595789,0
-0.015106432,0
-0.015609979,0
-0.015274281,0
-0.014938582,0
-0.014267185,0
-0.013595789,0
-0.014099336,0
-0.014267185,0
-0.014267185,0
-0.014602884,0
-0.015945678,0
-0.015945678,0
-0.015609979,0
-0.013427939,0
-0.012252995,0
-0.012420844,0
-0.013595789,0
-0.014602884,0
-0.015609979,0
-0.016784924,0
-0.017120623,0
-0.016952773,0
-0.016281376,0
-0.016952773,0
-0.016952773,0
-0.016281376,0
-0.015106432,0
-0.014602884,0
-0.015274281,0
-0.015945678,0
-0.016952773,0
-0.017288472,0
-0.01762417,0
-0.018295567,0
-0.01762417,0
-0.017288472,0
-0.017120623,0
-0.016281376,0
-0.015945678,0
-0.016281376,0
-0.015777829,0
-0.015106432,0
-0.014099336,0
-0.01326009,0
-0.012420844,0
-0.012588693,0
-0.013595789,0
-0.013595789,0
-0.014267185,0
-0.013931487,0
-0.013595789,0
-0.013595789,0
-0.015609979,0
-0.015945678,0
-0.015274281,0
-0.014938582,0
-0.014267185,0
-0.013595789,0
-0.015106432,0
-0.015609979,0
-0.015274281,0
-0.014938582,0
-0.014267185,0
-0.013595789,0
-0.014099336,0
-0.014267185,0
-0.014267185,0
-0.014602884,0
-0.015945678,0
-0.015945678,0
-0.015609979,0
-0.013427939,0
-0.012252995,0
-0.012420844,0
-0.013595789,0
-0.014602884,0
-0.015609979,0
-0.016784924,0
-0.017120623,0
-0.016952773,0
-0.016281376,0
-0.016952773,0
-0.016952773,0
-0.016281376,0
-0.015106432,0
-0.014602884,0
-0.015274281,0
-0.015945678,0
-0.016952773,0
-0.017288472,0
-0.01762417,0
-0.018295567,0
-0.01762417,0
-0.017288472,0
-0.017120623,0
-0.016281376,0
-0.015945678,0
-0.016281376,0
-0.018295567,0
-0.019134813,0
-0.017456321,0
-0.012252995,0
-0.009567407,0
-0.011581598,0
-0.015274281,0
-0.017959869,0
-0.016952773,0
-0.014267185,0
-0.014938582,0
-0.016952773,0
-0.018966964,0
-0.019134813,0
-0.017120623,0
-0.015106432,0
-0.014267185,0
-0.01326009,0
-0.012924392,0
-0.013763638,0
-0.014267185,0
-0.014602884,0
-0.014267185,0
-0.013595789,0
-0.013092241,0
-0.015274281,0
-0.017120623,0
-0.016784924,0
-0.01762417,0
-0.016952773,0
-0.015609979,0
-0.015777829,0
-0.016281376,0
-0.016617075,0
-0.017120623,0
-0.01762417,0
-0.017120623,0
-0.016449226,0
-0.015945678,0
-0.014770733,0
-0.013595789,0
-0.013595789,0
-0.013931487,0
-0.01326009,0
-0.012756542,0
-0.014099336,0
-0.01544213,0
-0.015274281,0
-0.015609979,0
-0.015274281,0
-0.015609979,0
-0.016952773,0
-0.016281376,0
-0.014938582,0
-0.015609979,0
-0.016281376,0
-0.015945678,0
-0.015106432,0
-0.015106432,0
-0.015945678,0
-0.015609979,0
-0.014938582,0
-0.015609979,0
-0.017288472,0
-0.01762417,0
-0.017288472,0
-0.015609979,0
-0.015609979,0
-0.016281376,0
-0.017959869,0
-0.019134813,0
-0.01779202,0
-0.016617075,0
-0.016952773,0
-0.017288472,0
-0.018295567,0
-0.019134813,0
-0.019470512,0
-0.018463416,0
-0.017120623,0
-0.015106432,0
-0.013931487,0
-0.013595789,0
-0.014267185,0
-0.015609979,0
-0.01762417,0
-0.018966964,0
-0.01762417,0
-0.013092241,0
-0.009903105,0
-0.010910201,0
-0.014602884,0
-0.01762417,0
-0.018631266,0
-0.016952773,0
-0.015274281,0
-0.015274281,0
-0.015274281,0
-0.016281376,0
-0.017120623,0
-0.016449226,0
-0.015274281,0
-0.014938582,0
-0.015609979,0
-0.016449226,0
-0.015777829,0
-0.014435035,0
-0.014938582,0
-0.016952773,0
-0.016449226,0
-0.015274281,0
-0.013595789,0
-0.012420844,0
-0.012252995,0
-0.013763638,0
-0.013427939,0
-0.011749447,0
-0.011245899,0
-0.011749447,0
-0.012252995,0
-0.011749447,0
-0.012924392,0
-0.015106432,0
-0.01762417,0
-0.018631266,0
-0.018295567,0
-0.016952773,0
-0.01762417,0
-0.018127718,0
-0.018127718,0
-0.016281376,0
-0.015274281,0
-0.016281376,0
-0.018463416,0
-0.018295567,0
-0.016281376,0
-0.017120623,0
-0.018295567,0
-0.016281376,0
-0.015945678,0
-0.015945678,0
-0.014938582,0
-0.015609979,0
-0.017288472,0
-0.018463416,0
-0.017959869,0
-0.016952773,0
-0.016113527,0
-0.016617075,0
-0.015945678,0
-0.015274281,0
-0.015609979,0
-0.015777829,0
-0.016281376,0
-0.01762417,0
-0.017959869,0
-0.017288472,0
-0.016113527,0
-0.01544213,0
-0.016784924,0
-0.016617075,0
-0.016281376,0
-0.014267185,0
-0.014938582,0
-0.015609979,0
-0.014938582,0
-0.012252995,0
-0.010910201,0
-0.011917296,0
-0.012924392,0
-0.013931487,0
-0.013931487,0
-0.013595789,0
-0.014938582,0
-0.016952773,0
-0.017959869,0
-0.018295567,0
-0.016617075,0
-0.015106432,0
-0.015945678,0
-0.017959869,0
-0.018966964,0
-0.016952773,0
-0.015609979,0
-0.016281376,0
-0.015609979,0
-0.014938582,0
-0.014602884,0
-0.015609979,0
-0.016952773,0
-0.017120623,0
-0.015945678,0
-0.015777829,0
-0.01762417,0
-0.01997406,0
-0.021149004,0
-0.019638361,0
-0.016952773,0
-0.014938582,0
-0.015777829,0
-0.016784924,0
-0.016281376,0
-0.016281376,0
-0.015945678,0
-0.015609979,0
-0.014938582,0
-0.013931487,0
-0.013931487,0
-0.014938582,0
-0.015609979,0
-0.014602884,0
-0.013092241,0
-0.012420844,0
-0.011245899,0
-0.010910201,0
-0.012252995,0
-0.014938582,0
-0.015106432,0
-0.014435035,0
-0.014938582,0
-0.015609979,0
-0.014938582,0
-0.014938582,0
-0.015274281,0
-0.014602884,0
-0.014770733,0
-0.01544213,0
-0.016281376,0
-0.016784924,0
-0.015274281,0
-0.014267185,0
-0.015274281,0
-0.017120623,0
-0.018295567,0
-0.01762417,0
-0.015945678,0
-0.014938582,0
-0.016784924,0
-0.018463416,0
-0.01779202,0
-0.015106432,0
-0.013092241,0
-0.013763638,0
-0.014267185,0
-0.014099336,0
-0.015609979,0
-0.01762417,0
-0.018295567,0
-0.016617075,0
-0.014938582,0
-0.015945678,0
-0.016952773,0
-0.014938582,0
-0.013595789,0
-0.014938582,0
-0.016952773,0
-0.016784924,0
-0.016952773,0
-0.016617075,0
-0.017120623,0
-0.018295567,0
-0.018631266,0
-0.018631266,0
-0.018966964,0
-0.01762417,0
-0.017288472,0
-0.017120623,0
-0.016617075,0
-0.01779202,0
-0.01762417,0
-0.015945678,0
-0.014267185,0
-0.014099336,0
-0.014267185,0
-0.014602884,0
-0.014435035,0
-0.014938582,0
-0.014267185,0
-0.013595789,0
-0.014435035,0
-0.013931487,0
-0.013595789,0
-0.013595789,0
-0.014602884,0
-0.014938582,0
-0.014267185,0
-0.014938582,0
-0.016281376,0
-0.016449226,0
-0.016281376,0
-0.016281376,0
-0.017288472,0
-0.017959869,0
-0.015777829,0
-0.01326009,0
-0.01326009,0
-0.013595789,0
-0.014435035,0
-0.015945678,0
-0.015945678,0
-0.013931487,0
-0.013931487,0
-0.016449226,0
-0.018966964,0
-0.019638361,0
-0.019134813,0
-0.01762417,0
-0.017959869,0
-0.018966964,0
-0.018966964,0
-0.017959869,0
-0.016617075,0
-0.015274281,0
-0.016281376,0
-0.016449226,0
-0.016281376,0
-0.015609979,0
-0.014938582,0
-0.014267185,0
-0.014770733,0
-0.015777829,0
-0.015106432,0
-0.014099336,0
-0.014435035,0
-0.01544213,0
-0.016281376,0
-0.015274281,0
-0.012588693,0
-0.012420844,0
-0.013595789,0
-0.014602884,0
-0.014602884,0
-0.014938582,0
-0.016281376,0
-0.017288472,0
-0.017288472,0
-0.016617075,0
-0.015945678,0
-0.016281376,0
-0.015945678,0
-0.014938582,0
-0.016281376,0
-0.017120623,0
-0.016952773,0
-0.016617075,0
-0.015945678,0
-0.015609979,0
-0.016952773,0
-0.018631266,0
-0.018295567,0
-0.016113527,0
-0.015274281,0
-0.014602884,0
-0.014267185,0
-0.014099336,0
-0.013092241,0
-0.012420844,0
-0.013427939,0
-0.014435035,0
-0.01544213,0
-0.017959869,0
-0.01980621,0
-0.018966964,0
-0.01762417,0
-0.016617075,0
-0.016784924,0
-0.016952773,0
-0.016784924,0
-0.015609979,0
-0.015106432,0
-0.014938582,0
-0.014770733,0
-0.014938582,0
-0.014938582,0
-0.013595789,0
-0.013763638,0
-0.015945678,0
-0.016784924,0
-0.016617075,0
-0.01762417,0
-0.018631266,0
-0.01762417,0
-0.016617075,0
-0.016281376,0
-0.017288472,0
-0.018295567,0
-0.018966964,0
-0.018463416,0
-0.016952773,0
-0.015274281,0
-0.014602884,0
-0.014938582,0
-0.016281376,0
-0.017456321,0
-0.017288472,0
-0.014602884,0
-0.012924392,0
-0.013595789,0
-0.014938582,0
-0.015609979,0
-0.016281376,0
-0.016281376,0
-0.014938582,0
-0.01326009,0
-0.012588693,0
-0.012420844,0
-0.011581598,0
-0.013092241,0
-0.015274281,0
-0.016281376,0
-0.014938582,0
-0.012588693,0
-0.010910201,0
-0.010238804,0
-0.011245899,0
-0.013595789,0
-0.014435035,0
-0.013931487,0
-0.013763638,0
-0.014602884,0
-0.014938582,0
-0.015777829,0
-0.018966964,0
-0.021149004,0
-0.01980621,0
-0.017288472,0
-0.017288472,0
-0.018295567,0
-0.016281376,0
-0.013931487,0
-0.013763638,0
-0.016617075,0
-0.018966964,0
-0.020309758,0
-0.020309758,0
-0.018295567,0
-0.015274281,0
-0.01326009,0
-0.014602884,0
-0.018631266,0
-0.021149004,0
-0.020309758,0
-0.019134813,0
-0.018127718,0
-0.017288472,0
-0.017288472,0
-0.017120623,0
-0.016952773,0
-0.016952773,0
-0.018295567,0
-0.017959869,0
-0.017456321,0
-0.017120623,0
-0.016952773,0
-0.015274281,0
-0.012924392,0
-0.011581598,0
-0.012924392,0
-0.014267185,0
-0.014770733,0
-0.014099336,0
-0.013931487,0
-0.013763638,0
-0.012924392,0
-0.013595789,0
-0.014435035,0
-0.012924392,0
-0.011917296,0
-0.012420844,0
-0.013931487,0
-0.013763638,0
-0.012924392,0
-0.013931487,0
-0.013931487,0
-0.013595789,0
-0.014435035,0
-0.015274281,0
-0.015609979,0
-0.014435035,0
-0.013931487,0
-0.014938582,0
-0.015609979,0
-0.014267185,0
-0.014938582,0
-0.017288472,0
-0.018799115,0
-0.016952773,0
-0.015274281,0
-0.014938582,0
-0.016281376,0
-0.017288472,0
-0.016281376,0
-0.017120623,0
-0.020309758,0
-0.020981155,0
-0.018463416,0
-0.016449226,0
-0.015945678,0
-0.017120623,0
-0.017959869,0
-0.017120623,0
-0.017120623,0
-0.017959869,0
-0.017959869,0
-0.018295567,0
-0.018295567,0
-0.016281376,0
-0.013595789,0
-0.012924392,0
-0.013092241,0
-0.013931487,0
-0.016113527,0
-0.01762417,0
-0.015945678,0
-0.014099336,0
-0.014267185,0
-0.014602884,0
-0.014435035,0
-0.014435035,0
-0.013595789,0
-0.011917296,0
-0.012588693,0
-0.013763638,0
-0.015274281,0
-0.016113527,0
-0.015274281,0
-0.014267185,0
-0.015945678,0
-0.01779202,0
-0.018463416,0
-0.01762417,0
-0.015274281,0
-0.014938582,0
-0.015274281,0
-0.015609979,0
-0.016281376,0
-0.01762417,0
-0.018127718,0
-0.01544213,0
-0.01326009,0
-0.013763638,0
-0.014938582,0
-0.014435035,0
-0.014938582,0
-0.016617075,0
-0.017120623,0
-0.015777829,0
-0.015609979,0
-0.015274281,0
-0.015274281,0
-0.015777829,0
-0.015609979,0
-0.014267185,0
-0.013763638,0
-0.014938582,0
-0.015274281,0
-0.016281376,0
-0.01762417,0
-0.018631266,0
-0.01997406,0
-0.019638361,0
-0.016617075,0
-0.014938582,0
-0.016281376,0
-0.018295567,0
-0.018631266,0
-0.018966964,0
-0.019302663,0
-0.019638361,0
-0.01997406,0
-0.018966964,0
-0.016449226,0
-0.014267185,0
-0.015274281,0
-0.016281376,0
-0.015274281,0
-0.013595789,0
-0.012588693,0
-0.012924392,0
-0.013763638,0
-0.014099336,0
-0.015106432,0
-0.014435035,0
-0.01326009,0
-0.012420844,0
-0.013595789,0
-0.015609979,0
-0.015609979,0
-0.016281376,0
-0.01762417,0
-0.018295567,0
-0.016952773,0
-0.016281376,0
-0.017120623,0
-0.017959869,0
-0.018295567,0
-0.018463416,0
-0.01762417,0
-0.016449226,0
-0.015945678,0
-0.015609979,0
-0.012588693,0
-0.010238804,0
-0.010238804,0
-0.011581598,0
-0.013595789,0
-0.012924392,0
-0.013931487,0
-0.016617075,0
-0.017288472,0
-0.016281376,0
-0.015609979,0
-0.016281376,0
-0.018295567,0
-0.020309758,0
-0.019302663,0
-0.017288472,0
-0.015945678,0
-0.01326009,0
-0.012252995,0
-0.01326009,0
-0.013595789,0
-0.013595789,0
-0.012924392,0
-0.012252995,0
-0.012588693,0
-0.01326009,0
-0.014602884,0
-0.015274281,0
-0.015945678,0
-0.016281376,0
-0.014602884,0
-0.015106432,0
-0.016952773,0
-0.017288472,0
-0.017288472,0
-0.016952773,0
-0.01762417,0
-0.01762417,0
-0.01762417,0
-0.016617075,0
-0.01544213,0
-0.013931487,0
-0.01326009,0
-0.013427939,0
-0.014602884,0
-0.016281376,0
-0.016617075,0
-0.015274281,0
-0.014435035,0
-0.015945678,0
-0.018463416,0
-0.018631266,0
-0.017959869,0
-0.016617075,0
-0.016281376,0
-0.015106432,0
-0.014938582,0
-0.01544213,0
-0.015609979,0
-0.014938582,0
-0.015106432,0
-0.014938582,0
-0.01544213,0
-0.015609979,0
-0.016281376,0
-0.015777829,0
-0.015274281,0
-0.015609979,0
-0.017288472,0
-0.01762417,0
-0.016449226,0
-0.015609979,0
-0.016113527,0
-0.016449226,0
-0.016617075,0
-0.01762417,0
-0.016784924,0
-0.01544213,0
-0.014435035,0
-0.013595789,0
-0.013595789,0
-0.014938582,0
-0.015945678,0
-0.016449226,0
-0.016617075,0
-0.015945678,0
-0.015106432,0
-0.015945678,0
-0.016952773,0
-0.016281376,0
-0.014602884,0
-0.014435035,0
-0.015106432,0
-0.014938582,0
-0.015777829,0
-0.016281376,0
-0.015777829,0
-0.014938582,0
-0.015609979,0
-0.015609979,0
-0.014938582,0
-0.014938582,0
-0.014435035,0
-0.014938582,0
-0.016281376,0
-0.016281376,0
-0.016281376,0
-0.017288472,0
-0.016281376,0
-0.015609979,0
-0.016617075,0
-0.016617075,0
-0.016617075,0
-0.016952773,0
-0.01762417,0
-0.018295567,0
-0.019134813,0
-0.018799115,0
-0.016617075,0
-0.015274281,0
-0.017120623,0
-0.019638361,0
-0.018966964,0
-0.016281376,0
-0.013763638,0
-0.013595789,0
-0.015609979,0
-0.016281376,0
-0.015609979,0
-0.01544213,0
-0.014602884,0
-0.014770733,0
-0.014267185,0
-0.013931487,0
-0.014435035,0
-0.015106432,0
-0.016281376,0
-0.014938582,0
-0.013931487,0
